"","ukr","en","NOTES – use \n for newline","max length"
"animal_mine","Maamiina","Maamiina","doesn't need to be translated",""
"animal_fungus_big","Nuijamalikka","Itiösieni","doesn't need to be translated",""
"animal_lurker","Varjokupla","Varjokupla","doesn't need to be translated",""
"animal_scavenger_invis","Häivehiisi","Häivehiisi","doesn't need to be translated",""
"animal_scavenger_shield","Kilpihiisi","Kilpihiisi","doesn't need to be translated",""
"animal_frog_big","Jättikonna","Jättikonna","doesn't need to be translated",""
"animal_tank_super","Laser-tankki","Laser-tankki","doesn't need to be translated",""
"animal_plague_rats_rat","Ruttorotta","Ruttorotta","doesn't need to be translated",""
"animal_giantshooter_weak","Heikko äitinuljaska","Heikko äitinuljaska","doesn't need to be translated",""
"animal_acidshooter_weak","Heikko happonuljaska","Heikko happonuljaska","doesn't need to be translated",""
"animal_wraith_storm","Ukkoshyypiö","Ukkoshyypiö","doesn't need to be translated",""
"animal_skycrystal_physics","Taivaskristalli","Taivaskristalli","doesn't need to be translated",""
"animal_slimeshooter_nontoxic","Limanuljaska","Limanuljaska","doesn't need to be translated",""
"animal_turret_right","Torjuntalaite","Torjuntalaite","doesn't need to be translated",""
"animal_turret_left","Torjuntalaite","Torjuntalaite","doesn't need to be translated",""
"animal_necromancer","Hahmonvaihtaja","Hahmonvaihtaja","doesn't need to be translated",""
"animal_lukki_tiny","Pikkuhämähäkki","Pikkuhämähäkki","doesn't need to be translated",""
"animal_spearbot","Peitsivartija","Peitsivartija","doesn't need to be translated",""
"animal_ultimate_killer","Kauhuhirviö","Kauhuhirviö","doesn't need to be translated",""
"animal_goblin_bomb","Sähikäismenninkäinen","Sähikäismenninkäinen","doesn't need to be translated",""
"animal_pebble_physics","Lohkare","Lohkare","doesn't need to be translated",""
"animal_chest_leggy","Jalkamatkatavara","Jalkamatkatavara","doesn't need to be translated",""
"animal_boss_centipede","Kolmisilmä","Kolmisilmä","doesn't need to be translated",""
"animal_failed_alchemist","Kadotettu alkemisti","Kadotettu alkemisti","doesn't need to be translated",""
"animal_failed_alchemist_b","Epäalkemisti","Epäalkemisti","doesn't need to be translated",""
"animal_enlightened_alchemist","Valaistunut alkemisti","Valaistunut alkemisti","doesn't need to be translated",""
"animal_lasergun","Laserkanuuna","Laserkanuuna","doesn't need to be translated",""
"animal_monk","Munkki","Munkki","doesn't need to be translated",""
"animal_statue","Patsas","Patsas","doesn't need to be translated",""
"animal_boss_alchemist","Ylialkemisti","Ylialkemisti","doesn't need to be translated",""
"animal_wizard_returner","Palauttajamestari","Palauttajamestari","doesn't need to be translated",""
"animal_wizard_swapper","Vaihdosmestari","Vaihdosmestari","doesn't need to be translated",""
"animal_drone_lasership","Jättilaser-lennokki","Jättilaser-lennokki","doesn't need to be translated",""
"animal_shaman","Märkiäinen","Märkiäinen","doesn't need to be translated",""
"actiondesc_cloud_acid ","Створює дощ з кислоти ","Creates a rain of acid ","",""
"actiondesc_damage_x2","Заклинання, що чаклуються з цим завдають подвійної шкоди","Spells cast alongside this spell deal double damage","",""
"actiondesc_damage_x5","Заклинання, що чаклуються разом з цим завдають x5 шкоди","Spells cast alongside this spell deal quintuple damage","",""
"actiondesc_unstable_gunpowder","Снаряд випускає вибуховий порох, коли зникає","Makes a projectile release firecrackers when it disappears","",""
"actiondesc_slow_bullet_timer","Повільна, але потужна куля енергії, що чаклує ще одне заклинання після закінчення таймера","A slow but powerful orb of energy that casts another spell after a timer runs out","",""
"actiondesc_bouncy_orb_timer","Швидкий дуговий снаряд, який кастує ще одне заклинання після закінчення таймера","A fast, arcing projectile that casts another spell after a timer runs out","",""
"actiondesc_heal_bullet","Магічний снаряд з цілющими властивостями","A magical bolt that heals other beings","",""
"action_explosive_projectile","Вибуховий снаряд","Explosive projectile","",""
"action_explosion","Вибух","Explosion","",""
"actiondesc_arc_electric","Створює дугу блискавки між снарядами (потребує 2 заклинання зі снарядами)","Creates arcs of lightning between projectiles (requires 2 projectile spells)","",""
"actiondesc_arc_fire","Створює дугу вогню між снарядами (потребує 2 заклинання зі снарядами)","Creates arcs of fire between projectiles (requires 2 projectile spells)","",""
"actiondesc_arc_gunpowder","Створює дугу пороху між снарядами (потребує 2 заклинання зі снарядами)","Creates arcs of gunpowder between projectiles (requires 2 projectile spells)","",""
"actiondesc_arc_poison","Створює дугу отрути між снарядами (потребує 2 заклинання зі снарядами)","Creates arcs of poison between projectiles (requires 2 projectile spells)","",""
"action_death_cross_big","Величезний хрест смерті","Giga death cross","",""
"actiondesc_death_cross_big","Величезний смертоносний енергетичний хрест, який вибухає через короткий час","A giant, deadly energy cross that explodes after a short time","",""
"action_area_damage","Поле шкоди","Damage field","",""
"actiondesc_area_damage","Надає снаряду енергетичне поле, що постійно завдає 3,5 шкоди ворогам поблизу","Gives a projectile an energy field that constantly deals 3.5 damage to nearby creatures","",""
"action_summon_rock","Камінь","Rock","",""
"actiondesc_summon_rock","Створює міцний камінь з нізвідки","Create a mighty rock out of thin air","",""
"action_summon_egg","Створення яйця","Summon egg","",""
"actiondesc_summon_egg","Створює яйце, з якого вилуплюється дружня істота","Summons an egg that houses a friendly creature","",""
"action_spitter_tier_2","Великий бризкоболт","Large spitter bolt","",""
"actiondesc_spitter_tier_2","Потужніша версія бризкоболта","A more powerful version of Spitter Bolt","",""
"action_spitter_tier_2_timer","Великий бризкоболт з таймером","Large spitter bolt with timer","",""
"actiondesc_spitter_tier_2_timer","Потужніша версія бризкоболта, яка чаклує ще одне заклинання після закінчення таймера","A more powerful version of Spitter Bolt that casts another spell after a timer runs out","",""
"action_spitter_tier_3","Величезний бризкоболт","Giant spitter bolt","",""
"actiondesc_spitter_tier_3","Найпотужніше версія бризкоболта","The most powerful version of Spitter Bolt","",""
"action_spitter_tier_3_timer","Величезний бризкоболт з таймером","Giant spitter bolt with timer","",""
"actiondesc_spitter_tier_3_timer","Найпотужніша версія бризкоболта, яка чаклує ще одне заклинання після закінчення таймера","The most powerful version of Spitter Bolt that casts another spell after a timer runs out","",""
"action_transmutation","Хаотична трансмутація","Chaotic transmutation","",""
"actiondesc_transmutation","Перетворює різні рідкі та порошкоподібні речовини поблизу снаряда в щось інше","Transmutes various liquids and powdery substances within a projectile's range into something else","",""
"action_toxic_to_acid","Токсичний осад в кислоту","Toxic sludge to acid","",""
"actiondesc_toxic_to_acid","Перетворює токсичний осад в радіусі дії снаряда в кислоту","Makes any toxic sludge within a projectile's range turn into acid","",""
"action_summon_wandghost","Виклик Taikasauva","Summon Taikasauva","",""
"actiondesc_summon_wandghost","Викликає одержиму чарівну паличку вам на допомогу","Summons a possessed wand to aid you","",""
"action_touch_gold","Дотик золота","Touch of Gold","",""
"actiondesc_touch_gold","Перетворює на золото все в невеликому радіусі, включаючи стіни, істот... і вас","Transmutes everything in a short radius into gold, including walls, creatures... and you","",""
