,en,ru,pt-br,es-es,de,fr-fr,it,pl,zh-cn,jp,ko,,NOTES – use \n for newline,max length,,,,,,,,,,
action_hitfx_critical_oil,Critical on oiled enemies,Крит. удар врагам в нефти,Crítico em inimigos untados,Crítico aceitoso,Kritischer Treffer bei geölten Feinden,Critique contre les ennemis huilés,Critico su nemici unti,Krytyczne dla pokrytych ropą,油污敌人暴击,オイルまみれの敵へのクリティカル,기름칠한 적에게 치명타,,,,,,,,,,,,,
actiondesc_hitfx_critical_oil,Makes a projectile always do a critical hit on oiled enemies,Снаряд всегда наносит критический удар по врагам в нефти,O projétil sempre causa acerto crítico contra inimigos ensopados de petróleo.,Añade un 100 % de probabilidad de crítico al proyectil contra enemigos aceitosos,"Erhöht die Chance auf kritische Treffer bei Projektilen, die auf geölte Feinde treffen, um 100 %",Un projectile a 100 % de chances d'effectuer un coup critique contre les ennemis huilés,Consente a un proiettile di infliggere sempre un colpo critico sui nemici unti di petrolio.,"Sprawia, że pocisk zawsze powoduje trafienie krytyczne wrogom pokrytych ropą",令投射物对油污敌人始终暴击,オイルまみれの敵に当たった放射物へ、100%のクリティカルヒットの確率を追加する,발사체가 항상 기름에 젖은 적에게 치명타를 가합니다.,,,,,,,,,,,,,
action_hitfx_critical_blood,Critical on bloody enemies,Крит. удар окровавленным врагам,Crítico em inimigos ensanguentados,Crítico ensangrentado,Kritischer Treffer bei blutigen Feinden,Critique contre les ennemis ensanglantés,Critico su nemici insanguinati,Krytyczny dla zakrwawionych,染血敌人暴击,血まみれの敵へのクリティカル,피투성이 적에게 치명타,,,,,,,,,,,,,
actiondesc_hitfx_critical_blood,Makes a projectile always do a critical hit on bloody enemies,"Снаряд всегда наносит критический удар по врагам, покрытым кровью",O projétil sempre causa acerto crítico contra inimigos ensanguentados.,Añade un 100 % de probabilidad de crítico al proyectil contra enemigos ensangrentados,"Erhöht die Chance auf kritische Treffer bei Projektilen, die auf blutige Feinde treffen, um 100 %",Un projectile a 100 % de chances d'effectuer un coup critique contre les ennemis ensanglantés,Consente a un proiettile di infliggere sempre un colpo critico sui nemici insanguinati.,"Sprawia, że pocisk zawsze powoduje trafienie krytyczne zakrwawionym wrogom",令投射物对染血敌人始终暴击,血まみれの敵に当たった放射物へ、100%のクリティカルヒットの確率を追加する,발사체가 항상 피투성이 적에게 치명타를 가합니다.,,,,,,,,,,,,,
action_hitfx_poltergeist,Poltergeist,Полтергейст,Aparição,Poltergeist,Poltergeist,Poltergeist,Poltergeist,Poltergeist,骚灵,ポルターガイスト,폴터가이스트,,,,,,,,,,,,,
actiondesc_hitfx_poltergeist,Gives a projectile the power to animate physical objects,Снаряд способен оживлять физические объекты,O projétil é capaz de animar objetos físicos.,Los proyectiles ganan el poder de animar objetos físicos,"Erfüllt zusätzlich gewirkte Zauber mit der Macht, physische Objekte zu bewegen",Donne au projectile le pouvoir de donner vie aux objets physiques,Applica a un proiettile la capacità di animare oggetti fisici.,Daje pociskom moc ożywiania fizycznych obiektów,为投射物赋予令物理对象活动的力量,詠唱された呪文を、物理オブジェクトに命を吹き込むパワーと一緒に染み込ませる,발사체가 물리적인 물체들을 움직일 수 있게 됩니다.,,,,,,,,,,,,,
action_fireball_ray,Fireball thrower,Метатель огненных шаров,Arremessador de bola de fogo,Bolas de fuego,Feuerballwerfer,Lanceur de boules de feu,Lanciasfere di fuoco,Miotacz kul ognia,火球发射器,火の玉スローワー,화염구 투석,,,,,,,,,,,,,
actiondesc_fireball_ray,Makes a projectile cast fireballs in random directions,Снаряд выпускает огненные шары в случайных направлениях,O projétil lança bolas de fogo em direções aleatórias.,Hace que el proyectil lance bolas de fuego mientras se desplaza,"Bewirkt, dass Projektile im Flug Feuerbälle in zufällige Richtungen schießen",Le projectile en vol lance des boules de feu dans des directions aléatoires,Consente a un proiettile di lanciare sfere di fuoco in direzioni casuali.,"Powoduje, że pocisk rzuca kule ognia w losowych kierunkach",令投射物向随机方向发射火球,放射物が飛行中にランダムな方角へ火の玉を発射するようにする,발사체가 날아가면서 무작위 방향으로 화염구를 던집니다.,,,,,,,,,,,,,
action_hitfx_oiled_freeze,Oil freeze,Заморозка нефти,Congelando petróleo,Aceite congelante,Ölfrost,Gel d'huile,Congelamento petrolifero,Zamrażanie ropy,油污冻结,オイル凍結,기름 얼리기,,,,,,,,,,,,,
actiondesc_hitfx_oiled_freeze,Makes a projectile freeze enemies drenched in oil,Заставляет снаряд замораживать покрытых нефтью врагов,O projétil congela inimigos ensopados de petróleo.,Los enemigos aceitosos se congelan al ser alcanzados por el proyectil,"Bewirkt, dass in Öl getränkte Feinde gefrieren, wenn sie von Projektilen getroffen werden",Les ennemis imbibés d'huile sont gelés lorsqu'ils sont touchés par un projectile,Consente a un proiettile di congelare nemici unti di petrolio.,"Sprawia, że pocisk zamraża wrogów pokrytych ropą",令投射物冻结敌人并使其沾满油污,オイルまみれになっている敵が放射物に当たると凍結する,발사체가 기름에 젖은 적을 얼립니다.,,,,,,,,,,,,,
action_alcohol_shot,Alcohol shot,Алкоголь выстрел,Disparo alcoólico,Golpe alcoholizante,Alkoholschuss,Tir alcoolisé,Colpo alcolico,Strzał alkoholu,美酒一杯,アルコールショット,알코올 사격,,,,,,,,,,,,,
actiondesc_alcohol_shot,Makes a projectile get the enemies it hits drunk,Заставляет снаряд опьянять пораженных врагов,O projétil embebeda inimigos atingidos.,Los enemigos alcanzados por el proyectil quedan emborrachados durante un tiempo,"Bewirkt, dass Feinde für einige Zeit betrunken werden, wenn sie von Projektilen getroffen werden",Les ennemis deviennent ivres lorsqu'ils sont touchés par un projectile,Consente a un proiettile di far ubriacare i nemici che colpisce.,"Sprawia, że pocisk upija trafionych wrogów",令投射物击中的敌人酩酊大醉,放射物に当たった敵は、しばらくの間に泥酔状態になる,발사체가 적을 취하게 만듭니다.,,,,,,,,,,,,,
action_freeze_if_wet_shooter,Freeze if wet,Заморозка влагой,Molhado congelante,Congelar al mojarse,Frost bei Nässe,Gel si mouillé,Congelamento se bagnato,Zamrożenie przez mokrego,化水为冰,湿気は凍結,젖은 상태면 얼리기,,,,,,,,,,,,,
actiondesc_freeze_if_wet_shooter,"If caster is wet, makes a projectile freeze the enemies it hits","Если заклинатель покрыт влагой, пораженные снарядом враги будут заморожены","Se o conjurador estiver molhado, o projétil congelará os inimigos atingidos.","Si el lanzador está mojado, sus proyectiles congelan","Gefriert Feinde beim Aufprall von Projektilen, wenn der Wirker nass ist","Si le lanceur est mouillé, les ennemis seront gelés lorsqu'ils sont touchés par un projectile","Se il lanciatore è bagnato, crea un proiettile che congela i nemici che colpisce.","Jeśli rzucający jest mokry, powoduje, że pocisk zamraża trafionych wrogów",施术者潮湿状态下，投射物击中敌人将会令敌人冻结,詠唱者が濡れている場合、敵が放射物に接触すると凍結する,시전자가 젖어 있으면 발사체에 피격된 적이 얼어붙습니다.,,,,,,,,,,,,,
action_blindness,Blindness,Слепота,Cegueira,Ceguera,Blindheit,Aveuglement,Cecità,Ślepota,目盲,盲目,실명,,,,,,,,,,,,,
actiondesc_blindness,I can't see!,Ничего не вижу!,Não enxergo nada!,¡No veo nada!,Ich kann nichts sehen!,Je ne vois rien !,Non vedo nulla!,Nic nie widzę!,我看不见了！,何も見えない！,눈이 안 보여요!,,,,,,,,,,,,,
action_teleportation,Teleportation,Телепортация,Teletransporte,Teletransporte,Teleportierung,Téléportation,Teletrasportato,Teleportacja,传送,テレポーテーション,텔레포트,,,,,,,,,,,,,
actiondesc_teleportation,Spells cast alongside this will teleport enemies,Накладываемые параллельно заклинания телепортируют врагов,Feitiços lançados próximos dele teletransportarão inimigos.,Los hechizos lanzados con este teletransportan a los enemigos,"Zauber, die hiermit gewirkt werden, teleportieren Feinde",Les sorts lancés avec téléporteront les ennemis,Gli incantesimi lanciati insieme a questo incantesimo teletrasportano i nemici.,Rzucone wraz z tym zaklęcia teleportują wrogów,随之施放的法术将可将敌人传送,これと同時にかけられた呪文は敵をテレポートする,같이 시전된 주문이 적을 텔레포트합니다,,,,,,,,,,,,,
action_telepathy,Telepathy,Телепатия,Telepatia,Telepatía,Telepathie,Télépathie,Telepatia,Telepatia,心灵感应,テレパシー,텔레파시,,,,,,,,,,,,,
actiondesc_telepathy,Sense other beings through walls,Позволяет ощущать других существ сквозь стены,O conjurador sente outros seres através das paredes.,Detecta a otros seres a través de las paredes,Du nimmst andere Wesen durch Wände wahr,Détectez les autres créatures à travers les murs,Consente di avvertire la presenza di altri esseri attraverso le pareti.,Wyczuwanie innych istot przez ściany,透过墙壁感应其他存在,壁を通して他の存在を感知する,벽 너머에 있는 다른 존재를 감지합니다,,,,,,,,,,,,,
action_arc_electric,Electric Arc,Электрическая дуга,Arco elétrico,Arco eléctrico,Lichtbogen,Arc électrique,Arco elettrico,Łuk elektryczny,电弧,電撃アーク,전기 아크,,,,,,,,,,,,,
action_arc_fire,Fire Arc,Огненная дуга,Arco de fogo,Arco de fuego,Feuerbogen,Arc de feu,Arco di fuoco,Łuk ognia,火焰弧,炎のアーク,화염 아크,,,,,,,,,,,,,
action_arc_gunpowder,Gunpowder Arc,Пороховая дуга,Arco de pólvora,Arco de pólvora,Schießpulver-Bogen,Arc de poudre à canon,Arco di polvere da sparo,Łuk prochu strzelniczego,火药弧,火薬アーク,화약 아크,,,,,,,,,,,,,
action_arc_poison,Poison Arc,Ядовитая дуга,Arco de veneno,Arco venenoso,Giftbogen,Arc de poison,Arco avvelenato,Łuk trucizny,毒液弧,猛毒アーク,독 아크,,,,,,,,,,,,,
action_polymorph,Polymorph charge,Polymorph charge,Carga polimórfica,Polymorph charge,Polymorph-Ladung,Polymorph charge,Carica polimorfica,Ładunek polimorficzny,变形放射,多形体チャージ,변신 충전,,,,,,,,,,,,,
actiondesc_polymorph,Baaaaa,Бе-е-е-е,Baaaaa!,Beeeee,Määääh,Bééééé,Beeeee,Bee,咩咩咩咩,バーーーー,메에에에,,,,,,,,,,,,,
action_berserk,Berserk,Неистовство,Fúria,Berserker,Berserker,Berserker,Furioso,Berserk,狂暴,バーサーク,버서커,,,,,,,,,,,,,
actiondesc_berserk,"Target enters a state of wild fury, attacking anyone nearby and getting a 2x damage boost",Цель впадает в дикую ярость и атакует всех поблизости с двухкратным увеличением урона,"O alvo entra em um estado de fúria descontrolada, atacando todos que estão próximos com o dobro do dano.","El objetivo se vuelve furioso, atacando a cualquiera que esté cerca con una bonificación de daño doble.","Das Ziel verfällt in einen Zustand wilder Wut, greift jeden in der Nähe an und richtet doppelten Schaden an","La cible entre dans un état de folie furieuse, attaquant quiconque se trouve à proximité et bénéficiant d'un boost de dégâts x2","Il bersaglio entra in uno stato di furia incontrollata, attacca chiunque si trovi nel suo raggio e infligge il doppio dei danni.","Cel wchodzi w stan dzikiej furii, atakując każdego w pobliżu i otrzymując dopalenie 2x do obrażeń",目标进入狂怒状态，攻击附近的一切并获得 2x 伤害加成,ターゲットは激高状態になり、近くにいる全員を攻撃し、2倍のダメージブーストを手に入れる,상대가 미친듯이 날뛰며 근처에 있는 모든 것을 공격하고 2배 대미지 부스트를 받습니다,,,,,,,,,,,,,
action_charm,Charm,Чары,Charme,Embrujar,Bezauberung,Charme,Incanto,Urok,迷惑,チャーム,매료,,,,,,,,,,,,,
actiondesc_charm,Target becomes friendly to the caster,Цель становится дружественной к заклинателю,O alvo fica não hostil ao lançador.,El objetivo se vuelve amistoso,Das Ziel wird freundlich gegenüber dem Wirker,La cible devient amicale envers le lanceur,Il bersaglio ha intenzioni amichevoli nei confronti del lanciatore.,Cel staje się przyjazny dla rzucającego,目标对施术者变得友好,ターゲットが詠唱者に対して友好的になる,타겟이 시전자의 아군이 됩니다,,,,,,,,,,,,,
